,count,mean,std,min,25%,50%,75%,max
id,102599.0,29146234.522129845,16257505.607308852,1001254.0,15085814.5,29136603.0,43201198.0,57367417.0
host id,102599.0,49254111474.32867,28538996644.374878,123600518.0,24583328475.0,49117739352.0,73996495817.0,98763129024.0
lat,102591.0,40.728093870371374,0.055856516027439095,40.49979,40.68874,40.72229,40.76276,40.91697
long,102591.0,-73.94964395581123,0.04952126420255897,-74.24984,-73.98258,-73.95444,-73.93235,-73.70522
instant_bookable,102494.0,0.4977852362089488,0.499997533958379,0.0,0.0,0.0,1.0,1.0
Construction year,102385.0,2012.487463983982,5.765556424285228,2003.0,2007.0,2012.0,2017.0,2022.0
price,102352.0,625.2935360325152,331.67161352431623,50.0,340.0,624.0,913.0,1200.0
service fee,102326.0,125.02692375349373,66.3257391060988,10.0,68.0,125.0,183.0,240.0
minimum nights,102190.0,8.13584499461787,30.553781313168127,-1223.0,2.0,3.0,5.0,5645.0
number of reviews,102416.0,27.483742774566473,49.508953960910596,0.0,1.0,7.0,30.0,1024.0
reviews per month,86720.0,1.374021909594096,1.7466214062498384,0.01,0.22,0.74,2.0,90.0
review rate number,102273.0,3.279105922384207,1.2846569239029515,1.0,2.0,3.0,4.0,5.0
calculated host listings count,102280.0,7.936605396949551,32.21878045841725,1.0,1.0,1.0,2.0,332.0
availability 365,102151.0,141.13325371264108,135.43502361154754,-10.0,3.0,96.0,269.0,3677.0
price_clean,102352.0,625.2935360325152,331.67161352431623,50.0,340.0,624.0,913.0,1200.0
